dutch,english
de,the
en,and
in,in
van,from
op,on
zijn,to be
het,the  
een,a
voor,in front of
die,That
met,of
te,at
hebben,to have
niet,not 
aan,at
ook,also
er,there
als,as
veel,a lot
kunnen,be able to
dat,Which
om,to
worden,become
dat,Which
nog,yet
maar,but
bij,Bee
zij,she
naar,nasty
uit,from
gaan,to go
komen,come
zullen,shall
of,or
over,about
moeten,should
door,by means of
al,already
geen,no
dan,then
goed,good  
wel,well
maken,to make
tot,until
hij,he
wat,what
zo,like this
zijn,to be
jaar,year
ander,other
doen,to do
dit,this
willen,want
zich,himself
staan,stand
zien,to see
zeggen,say
krijgen,to get
wij,we 
groot,big
na,after
hun,their
ik,I
deze,this one
daar,over there
jij,you
vinden,find
laten,to leave
al,already
tegen,against
twee,two
een,a
heel,all
geven,to give
blijven,stay
waar,Where
toch,However
ons,U.S
onder,below
weten,know
zitten,to sit
dan,then
maar,but
mens,man
omdat,because
alleen,alone
nemen,to take
houden,to keep
nieuw,new
mogen,be allowed to
weer,again
tijd,time
lang,long
af,off
liggen,lying down
dus,So
haar,hair
drie,three
tussen,among
mij,me
eens,once
volgen,follow
dag,day
zelf,yourself
mijn,mine
zoals,like
hem,it
mee,along
iets,something
hoe,how
denken,think
zonder,without
want,because
hier,here
altijd,always
te,at
plaats,Place
enkel,only
beginnen,to start
man,man
week,week
toe,at
echt,Real
keer,time
wie,Who
werken,to work
volgens,according to
eigen,own
vooral,mainly
zelfs,even
stellen,set
brengen,bring
zeker,secure
elk,each
net,just
lopen,walk
klein,small
nooit,never
vragen,to ask
vallen,fall
alles,everything
terug,back
horen,to belong
spelen,to play
uur,hour
oud,old
hoog,high
even,for a bit
tijdens,during the day
steeds,still
toen,when
vorig,last
binnen,inside
gewoon,just
niets,nothing
snel,fast
kijken,to look
maand,month
jong,young
halen,to fetch 
lijken,appear
zetten,to make
blijken,to turn out
toen,when
weinig,few
eerst,first
elkaar,each other
mogelijk,possibly
samen,together
kind,child
werk,work
land,land
vrouw,female
hand,hand
leven,to live
zo’n,Sun
eind,end
bestaan,to exist
rond,round
vaak,often
trekken,Pull
aantal,number of
achter,behind
natuurlijk,naturally
naam,name
laatst,last
deel,part 
belangrijk,important
misschien,perhaps
gebeuren,to happen
iedereen,everybody
bijna,almost
probleem,issue
vier,four
sinds,ever since
erg,terribly
per,per
geleden,past
nodig,required
noemen,to call
vraag,ask
proberen,to attempt
zaak,matter
spreken,to speak
allemaal,all
pas,pass
helemaal,all the way
men,men
kennen,know
bekend,familiar
terwijl,while
huis,House
geval,case
duidelijk,clear
gebruiken,to use
vertellen,narrate
kort,short
vroeg,early
vanaf,from
weg,away
eigenlijk,actually
via,through
iemand,someone
eerder,earlier
mooi,pretty
schrijven,to write
vijf,five
gisteren,yesterday
sterk,strong
paar,couple
u,you
hen,them
vandaag,Today
waarom,Why
moment,moment
manier,way
moeilijk,difficult
wereld,world
opnieuw,again
daarom,therefore
geld,money
zeer,very
soms,sometimes
groep,group
stad,city
enig,any
ver,far
genoeg,enough
stuk,piece
zwaar,heavy
zoeken,Search
kans,opportunity
ja,Yes
leggen,lay
waarin,in which
tien,ten
voelen,to feel
winnen,to win
begin,get started
vast,fixed
naast,next
bijvoorbeeld,for example
slecht,bad
verliezen,losses
buiten,Outside
zorgen,to care
Nederlands,Dutch
